Frequency (Hz)	Level (dB)
726.562500	-44.905857
727.294922	-45.187534
728.027344	-44.124451
728.759766	-43.211029
729.492188	-42.977772
730.224609	-42.061314
730.957031	-42.664360
731.689453	-42.347847
732.421875	-42.062569
733.154297	-41.250183
733.886719	-41.844936
734.619141	-42.485783
735.351562	-41.863213
736.083984	-42.689751
736.816406	-42.572021
737.548828	-42.358097
738.281250	-43.190361
739.013672	-42.090843
739.746094	-43.673664
740.478516	-42.595505
741.210938	-42.390949
741.943359	-43.381760
742.675781	-42.945427
743.408203	-43.177979
744.140625	-42.110741
744.873047	-42.980213
745.605469	-43.301662
746.337891	-42.041245
747.070312	-43.004730
747.802734	-42.118793
748.535156	-42.733089
749.267578	-43.659470
750.000000	-42.964039
750.732422	-44.664555
751.464844	-44.154819
752.197266	-43.191696
752.929688	-43.384548
753.662109	-42.270996
754.394531	-43.198242
755.126953	-43.440102
755.859375	-42.807182
756.591797	-42.162937
757.324219	-42.461121
758.056641	-41.974060
758.789062	-41.792900
759.521484	-41.427608
760.253906	-41.885262
760.986328	-42.343987
761.718750	-41.801907
762.451172	-41.734131
763.183594	-42.292015
763.916016	-42.955547
764.648438	-42.937969
765.380859	-43.300411
766.113281	-43.146191
766.845703	-42.055363
767.578125	-43.366837
768.310547	-42.791801
769.042969	-41.855576
769.775391	-41.711063
770.507812	-42.354530
771.240234	-42.284260
771.972656	-42.324780
772.705078	-42.636555
773.437500	-41.926022
774.169922	-42.245602
774.902344	-41.971840
775.634766	-42.269917
776.367188	-42.366524
777.099609	-42.751205
777.832031	-42.588524
778.564453	-42.963528
779.296875	-42.899750
780.029297	-41.120049
780.761719	-41.686127
781.494141	-40.758598
782.226562	-40.131603
782.958984	-40.385326
783.691406	-40.164246
784.423828	-40.327980
785.156250	-39.507263
785.888672	-40.799519
786.621094	-40.177116
787.353516	-40.593060
788.085938	-41.155510
788.818359	-42.031250
789.550781	-42.245300
790.283203	-42.330982
791.015625	-42.645870
791.748047	-42.162678
792.480469	-42.559952
793.212891	-42.727272
793.945312	-43.498795
794.677734	-44.225903
795.410156	-44.621239
796.142578	-44.481392
796.875000	-43.598591
797.607422	-44.415531
798.339844	-44.443932
799.072266	-44.323139
799.804688	-44.022678
800.537109	-44.052761
801.269531	-43.802685
802.001953	-43.961117
802.734375	-43.161781
